PRIOR-ART EVIDENCE MANIFEST
format-version: 1
subject: robotics libraries published by the kotoba-lang GitHub organization
declarant: Jun Kawasaki <root@junkawasaki.com>
measured-at-utc: 2026-08-19T07:11:13Z
measurement-method: GitHub REST API v3 (repos/{owner}/{repo}, repos/{owner}/{repo}/commits/{branch}); no local checkout was consulted
claim: each URL below was publicly accessible on the internet at the stated measurement time, at the stated default-branch commit; the git commit SHA-1 commits the full source tree by Merkle construction, so this manifest fixes the complete content of all listed repositories
license-of-all-listed-repositories: Apache-2.0 (SPDX), as reported by the GitHub licensee scan

count: 31

repo	visibility	default_branch	head_commit_sha1	tree_sha1	commit_date_utc	repo_created_utc	last_push_utc	spdx_license
robotics	public	main	1d1f93e3c9ac06ce475ebcfd4df1d908602792d5	a6c4cfb28b4c9e71fae9781c5355e7b013dd90da	2026-07-27T20:59:14Z	2026-07-01T00:24:48Z	2026-07-27T20:59:15Z	Apache-2.0
org-ros	public	main	f8f643a5070ae7fe67d2cdc36a19b79a488a169f	0b83e0c0ff8f45dd157133c85e21ed2b71cbd48c	2026-07-05T14:00:42Z	2026-07-05T12:53:36Z	2026-07-05T14:00:44Z	Apache-2.0
org-ros-urdf	public	main	e309a4e74a492d0c9d0bb7a0b48b03c0c4bc7ab1	5b408cfdaeea9aeb4e24bfa45eb2be79f069c87f	2026-08-04T03:15:07Z	2026-07-01T09:20:53Z	2026-08-04T03:15:08Z	Apache-2.0
kami-articulated	public	main	0700d9931e605e5eca3e1b3de1a3244a536fd84e	9214b04aa3472127d975582281edc83bcbd1e739	2026-08-04T02:46:54Z	2026-07-02T08:32:31Z	2026-08-04T02:46:54Z	Apache-2.0
kami-sensor-sim	public	main	149830d87bdd7d1beb390a7d6f2b13b4476d3b77	727b92ea298ed0dc24a72b052c94cc96e700b979	2026-08-04T02:52:33Z	2026-07-02T09:39:10Z	2026-08-04T02:52:33Z	Apache-2.0
kami-autodrive	public	main	b3e372fe82ff5bb95abe14d0da108191ab22bc2f	3e8a735a1c28075934ecfc1ed94e47bd55937ff0	2026-08-04T02:47:07Z	2026-07-02T08:39:58Z	2026-08-04T02:47:07Z	Apache-2.0
kami-autodrive-scene	public	main	d64e1e329930253398c7525106900f6c6d09b406	bafb1dc3b683ec22e9619e94111725295817a51b	2026-08-04T02:47:14Z	2026-07-02T08:33:24Z	2026-08-04T02:47:14Z	Apache-2.0
teleop	public	main	f17bda5e90b75740437c6798a1df8204ba408d8e	be386e1247ab117ee3de5773a446ba6cb31dd186	2026-07-30T16:46:42Z	2026-07-05T13:08:17Z	2026-07-30T16:46:42Z	Apache-2.0
swarm-choreo	public	main	4a49bf16c53970f414829874362594f759dd8b14	595c7d0e8ffb11ad172c51ee3e894c3fbb395a67	2026-07-30T16:46:20Z	2026-07-05T14:08:44Z	2026-07-30T16:46:20Z	Apache-2.0
com-nvidia-isaac	public	main	b82d3f77a487ba3dfbcb8e2639a01a9a826718df	be9d16260cdbedad2565062b842cd96a80928396	2026-08-04T01:48:07Z	2026-07-04T12:51:47Z	2026-08-04T01:48:07Z	Apache-2.0
com-nvidia-isaac-sim	public	main	8e71cbeeb886255141e048271c1941a14030f954	a221e47e55f4922618bfb5ad9c58845f062dd68a	2026-08-04T01:48:20Z	2026-07-02T08:39:01Z	2026-08-12T12:33:41Z	Apache-2.0
com-nvidia-isaac-lab	public	main	53c1f7a2641080b63337d39043b4ca84cc4953c6	f582f7119e36b4faa7eb6b46c42077f0e90a98a2	2026-08-04T01:48:14Z	2026-07-02T08:44:02Z	2026-08-04T01:48:14Z	Apache-2.0
